State,Postcode,Associated residential areas,Reporting Year,Age group,Percent fully immunised (%),Interpret with caution  (#)
NSW,2263,"Gorokan, Toukley, Lake Haven, Noraville, Charmhaven and 2 others",2016-17,1 year,95.0-100.0, 
NSW,2264,"Bonnells Bay, Morisset, Dora Creek, Brightwaters, Balcolyn and 9 others",2016-17,1 year,90.0-92.4, 
NSW,2265,"Cooranbong, Martinsville",2016-17,1 year,85.0-89.9,#
NSW,2267,Wangi Wangi,2016-17,1 year,NP, 
NSW,2278,"Barnsley, Killingworth, Wakefield",2016-17,1 year,95.0-100.0,#
NSW,2280,"Belmont North, Belmont, Valentine, Jewells, Marks Point and 3 others",2016-17,1 year,95.0-100.0, 
NSW,2281,"Swansea, Caves Beach, Blacksmiths, Pelican, Nords Wharf and 6 others",2016-17,1 year,95.0-100.0, 
NSW,2282,"Warners Bay, Eleebana, Lakelands",2016-17,1 year,95.0-100.0, 
NSW,2283,"Toronto, Blackalls Park, Bolton Point, Rathmines, Coal Point and 10 others",2016-17,1 year,92.5-94.9, 
NSW,2284,"Speers Point, Teralba, Booragul, Argenton, Woodrising and 2 others",2016-17,1 year,95.0-100.0, 
NSW,2285,"Edgeworth, Cardiff, Cameron Park, Glendale, Macquarie Hills and 2 others",2016-17,1 year,95.0-100.0, 
NSW,2286,"West Wallsend, Holmesville, Seahampton",2016-17,1 year,95.0-100.0,#
NSW,2287,"Wallsend, Maryland, Elermore Vale, Fletcher, Rankin Park and 3 others",2016-17,1 year,95.0-100.0, 
NSW,2289,"Adamstown, Adamstown Heights, Kotara, Garden Suburb, Kotara South and 2 others",2016-17,1 year,95.0-100.0, 
NSW,2290,"Charlestown, Gateshead, Redhead, Mount Hutton, Whitebridge and 5 others",2016-17,1 year,95.0-100.0, 
NSW,2291,"Merewether, The Junction, Merewether Heights",2016-17,1 year,95.0-100.0, 
NSW,2292,"Broadmeadow, Hamilton North",2016-17,1 year,NP, 
NSW,2293,"Maryville, Wickham",2016-17,1 year,NP, 
NSW,2294,Carrington,2016-17,1 year,NP, 
NSW,2295,"Stockton, Fern Bay",2016-17,1 year,92.5-94.9,#
NSW,2296,Islington,2016-17,1 year,NP, 
NSW,2297,Tighes Hill,2016-17,1 year,NP, 
NSW,2298,"Waratah, Waratah West, Georgetown",2016-17,1 year,95.0-100.0, 
NSW,2299,"Lambton, North Lambton, Jesmond",2016-17,1 year,90.0-92.4, 
NSW,2300,"Cooks Hill, Newcastle, The Hill, Bar Beach, Newcastle East",2016-17,1 year,92.5-94.9,#
NSW,2302,Newcastle West,2016-17,1 year,NP, 
NSW,2303,"Hamilton, Hamilton South, Hamilton East",2016-17,1 year,95.0-100.0,#
NSW,2304,"Mayfield, Warabrook, Mayfield West, Mayfield East, Sandgate and 2 others",2016-17,1 year,92.5-94.9, 
NSW,2305,"New Lambton, New Lambton Heights, Kotara East",2016-17,1 year,95.0-100.0, 
NSW,2306,Windale,2016-17,1 year,95.0-100.0,#
NSW,2307,Shortland,2016-17,1 year,95.0-100.0,#
NSW,2309,Dangar,2016-17,1 year,NP, 
NSW,2311,"East Gresford, Gresford, Allynbrook, Bingleburra, Carrabolla and 6 others",2016-17,1 year,NP, 
NSW,2312,"Nabiac, Minimbah",2016-17,1 year,NP, 
NSW,2315,"Nelson Bay, Corlette, Shoal Bay, Fingal Bay",2016-17,1 year,90.0-92.4, 
NSW,2316,"Anna Bay, Boat Harbour, Bobs Farm, One Mile, Taylors Beach and 1 other",2016-17,1 year,92.5-94.9,#
