rlgs_affi_islam_%, sa3_code16, rlgs_affi_other_religions_%, rlgs_affi_inadq_desc_not_stated_%, rlgs_affi_christianity_%, prop_tot_pop_spk_lang_other_eng_home_%, rlgs_affi_buddhism_%, rlgs_affi_hinduism_%, year, sa3_name16, rlgs_affi_judaism_%, rlgs_affi_sec_other_spiritual_no_religoin_%
1.1,"21101",1.0,7.5,49.8,25.2,3.8,2.6,2016,"Knox",0.1,34.0
0.9,"21102",0.9,7.7,54.1,19.0,1.8,0.8,2016,"Manningham  East",0.2,33.8
0.6,"21103",1.0,7.8,50.5,16.9,1.9,1.3,2016,"Maroondah",0.1,36.8
1.5,"21104",1.2,7.5,46.9,34.1,4.7,2.8,2016,"Whitehorse  East",0.1,35.2
0.2,"21105",0.6,8.9,45.8,7.2,1.0,0.3,2016,"Yarra Ranges",0.1,43.1
1.0,"21201",1.2,8.8,49.6,11.2,1.5,1.2,2016,"Cardinia",0.1,36.7
7.8,"21202",1.6,7.7,51.3,36.3,4.2,3.2,2016,"Casey  North",0.1,24.1
7.1,"21203",3.2,8.3,46.5,35.5,4.8,4.9,2016,"Casey  South",0.1,25.0
10.8,"21204",3.7,8.8,40.2,61.6,13.3,5.0,2016,"Dandenong",0.3,18.0
2.4,"21205",1.3,8.2,43.8,50.4,7.0,5.2,2016,"Monash",0.3,31.8
6.0,"21301",2.9,8.8,51.0,59.8,11.2,3.0,2016,"Brimbank",null,16.9
4.8,"21302",0.8,8.5,50.0,27.9,2.3,1.7,2016,"Hobsons Bay",0.1,31.8
4.3,"21303",0.7,10.4,35.5,41.9,8.3,3.8,2016,"Maribyrnong",0.1,36.9
3.5,"21304",2.0,9.3,56.3,29.1,2.4,2.5,2016,"Melton  Bacchus Marsh",null,23.9
7.3,"21305",3.9,8.5,46.0,41.2,2.7,8.6,2016,"Wyndham",0.1,23.0
0.7,"21401",0.6,9.7,47.0,11.4,1.2,1.0,2016,"Frankston",0.2,39.5
0.1,"21402",0.3,9.0,50.2,5.4,0.8,0.2,2016,"Mornington Peninsula",0.1,39.3
0.3,"21501",0.3,10.3,58.4,3.5,0.5,0.3,2016,"Grampians",null,29.8
1.7,"21502",0.6,10.6,51.9,9.5,1.0,0.4,2016,"Mildura",null,33.7
0.9,"21503",0.6,11.9,58.2,7.3,1.3,0.4,2016,"Murray River  Swan Hill",null,26.7
0.2,"21601",0.2,9.6,59.9,2.9,0.5,0.2,2016,"Campaspe",null,29.4
0.6,"21602",0.6,10.0,61.7,4.6,0.6,0.3,2016,"Moira",null,26.2
5.5,"21603",1.5,11.1,52.8,14.7,0.8,0.8,2016,"Shepparton",null,27.4
0.2,"21701",0.3,10.0,57.1,2.5,0.5,0.2,2016,"Glenelg  Southern Grampians",null,31.6
0.4,"21703",0.2,10.2,56.0,3.1,0.5,0.1,2016,"Colac  Corangamite",null,32.6
0.2,"21704",0.2,10.4,56.5,3.6,0.6,0.2,2016,"Warrnambool",null,31.8
0.3,"30101",0.7,7.2,60.2,8.2,0.9,0.7,2016,"Capalaba",0.1,29.9
0.3,"30102",0.4,7.8,60.1,6.0,0.9,0.3,2016,"Cleveland  Stradbroke",0.1,30.0
0.4,"30103",0.6,8.0,57.6,9.9,1.3,1.1,2016,"Wynnum  Manly",0.1,30.9
1.0,"30201",1.0,7.1,60.9,15.6,1.4,2.8,2016,"Bald Hills  Everton Park",0.1,25.9
0.8,"30202",1.1,8.7,56.9,14.5,1.4,1.6,2016,"Chermside",0.1,29.5
0.9,"30203",2.1,8.8,52.4,17.0,1.5,3.3,2016,"Nundah",0.1,30.8
0.8,"30204",2.4,8.1,55.9,15.7,1.2,2.6,2016,"Sandgate",0.1,28.9
1.0,"30301",0.7,7.7,59.0,17.6,1.7,1.8,2016,"Carindale",0.1,28.0
1.8,"30302",1.2,9.9,46.7,19.6,2.3,2.6,2016,"Holland Park  Yeronga",0.2,35.4
2.9,"30303",1.9,7.5,50.9,36.1,4.1,2.9,2016,"Mt Gravatt",0.1,29.8
2.6,"30304",1.3,8.6,48.5,26.7,2.9,2.8,2016,"Nathan",0.1,33.1
5.0,"30305",2.1,8.0,46.1,42.6,4.9,4.0,2016,"Rocklea  Acacia Ridge",null,29.8
0.2,"30905",0.6,8.4,57.8,7.5,1.2,0.3,2016,"Mudgeeraba  Tallebudgera",0.2,31.2
0.7,"30906",0.6,9.2,54.7,10.0,1.3,0.6,2016,"Nerang",0.2,32.8
