"MEASURE","Data item","REGIONTYPE","Geography Level","ASGS_2016","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"SCHOOL_3","With Postgraduate Degree (%)","SA3","Statistical Area Level 3","11702","Marrickville - Sydenham - Petersham","A","Annual","2016","2016",10.1,,
"SCHOOL_4","With Graduate Diploma/Graduate Certificate (%)","SA3","Statistical Area Level 3","11702","Marrickville - Sydenham - Petersham","A","Annual","2011","2011",2.6,,
"SCHOOL_4","With Graduate Diploma/Graduate Certificate (%)","SA3","Statistical Area Level 3","11702","Marrickville - Sydenham - Petersham","A","Annual","2016","2016",2.9,,
"SCHOOL_5","With Bachelor Degree (%)","SA3","Statistical Area Level 3","11702","Marrickville - Sydenham - Petersham","A","Annual","2011","2011",22.2,,
"SCHOOL_5","With Bachelor Degree (%)","SA3","Statistical Area Level 3","11702","Marrickville - Sydenham - Petersham","A","Annual","2016","2016",25.4,,
"SCHOOL_6","With Advanced Diploma/Diploma (%)","SA3","Statistical Area Level 3","11702","Marrickville - Sydenham - Petersham","A","Annual","2011","2011",9,,
"SCHOOL_6","With Advanced Diploma/Diploma (%)","SA3","Statistical Area Level 3","11702","Marrickville - Sydenham - Petersham","A","Annual","2016","2016",8.7,,
"SCHOOL_7","With Certificate (%)","SA3","Statistical Area Level 3","11702","Marrickville - Sydenham - Petersham","A","Annual","2011","2011",11.1,,
"SCHOOL_7","With Certificate (%)","SA3","Statistical Area Level 3","11702","Marrickville - Sydenham - Petersham","A","Annual","2016","2016",10.9,,
"SCHOOL_8","Post School Qualifications - Inadequately described, not stated (%)","SA3","Statistical Area Level 3","11702","Marrickville - Sydenham - Petersham","A","Annual","2011","2011",11.2,,
"SCHOOL_8","Post School Qualifications - Inadequately described, not stated (%)","SA3","Statistical Area Level 3","11702","Marrickville - Sydenham - Petersham","A","Annual","2016","2016",10.5,,
"SCHOOL_2","With Post School Qualifications (%)","SA3","Statistical Area Level 3","11703","Sydney Inner City","A","Annual","2011","2011",73.6,,
"SCHOOL_2","With Post School Qualifications (%)","SA3","Statistical Area Level 3","11703","Sydney Inner City","A","Annual","2016","2016",74.9,,
"SCHOOL_3","With Postgraduate Degree (%)","SA3","Statistical Area Level 3","11703","Sydney Inner City","A","Annual","2011","2011",10.6,,
"SCHOOL_3","With Postgraduate Degree (%)","SA3","Statistical Area Level 3","11703","Sydney Inner City","A","Annual","2016","2016",12.4,,
"SCHOOL_4","With Graduate Diploma/Graduate Certificate (%)","SA3","Statistical Area Level 3","11703","Sydney Inner City","A","Annual","2011","2011",2.3,,
"SCHOOL_4","With Graduate Diploma/Graduate Certificate (%)","SA3","Statistical Area Level 3","11703","Sydney Inner City","A","Annual","2016","2016",2.3,,
"SCHOOL_5","With Bachelor Degree (%)","SA3","Statistical Area Level 3","11703","Sydney Inner City","A","Annual","2011","2011",27.4,,
"SCHOOL_5","With Bachelor Degree (%)","SA3","Statistical Area Level 3","11703","Sydney Inner City","A","Annual","2016","2016",29.4,,
"SCHOOL_6","With Advanced Diploma/Diploma (%)","SA3","Statistical Area Level 3","11703","Sydney Inner City","A","Annual","2011","2011",8.8,,
"SCHOOL_6","With Advanced Diploma/Diploma (%)","SA3","Statistical Area Level 3","11703","Sydney Inner City","A","Annual","2016","2016",8.4,,
"SCHOOL_7","With Certificate (%)","SA3","Statistical Area Level 3","11703","Sydney Inner City","A","Annual","2011","2011",8,,
"SCHOOL_7","With Certificate (%)","SA3","Statistical Area Level 3","11703","Sydney Inner City","A","Annual","2016","2016",7.3,,
"SCHOOL_8","Post School Qualifications - Inadequately described, not stated (%)","SA3","Statistical Area Level 3","11703","Sydney Inner City","A","Annual","2011","2011",16.5,,
"SCHOOL_8","Post School Qualifications - Inadequately described, not stated (%)","SA3","Statistical Area Level 3","11703","Sydney Inner City","A","Annual","2016","2016",14.9,,
"SCHOOL_2","With Post School Qualifications (%)","SA3","Statistical Area Level 3","11801","Eastern Suburbs - North","A","Annual","2011","2011",75,,
"SCHOOL_2","With Post School Qualifications (%)","SA3","Statistical Area Level 3","11801","Eastern Suburbs - North","A","Annual","2016","2016",77,,
"SCHOOL_3","With Postgraduate Degree (%)","SA3","Statistical Area Level 3","11801","Eastern Suburbs - North","A","Annual","2011","2011",9.7,,
"SCHOOL_3","With Postgraduate Degree (%)","SA3","Statistical Area Level 3","11801","Eastern Suburbs - North","A","Annual","2016","2016",12,,
"SCHOOL_4","With Graduate Diploma/Graduate Certificate (%)","SA3","Statistical Area Level 3","11801","Eastern Suburbs - North","A","Annual","2011","2011",2.4,,
"SCHOOL_4","With Graduate Diploma/Graduate Certificate (%)","SA3","Statistical Area Level 3","11801","Eastern Suburbs - North","A","Annual","2016","2016",2.6,,
"SCHOOL_5","With Bachelor Degree (%)","SA3","Statistical Area Level 3","11801","Eastern Suburbs - North","A","Annual","2011","2011",29.8,,
"SCHOOL_5","With Bachelor Degree (%)","SA3","Statistical Area Level 3","11801","Eastern Suburbs - North","A","Annual","2016","2016",32,,
"SCHOOL_6","With Advanced Diploma/Diploma (%)","SA3","Statistical Area Level 3","11801","Eastern Suburbs - North","A","Annual","2011","2011",9.3,,
"SCHOOL_6","With Advanced Diploma/Diploma (%)","SA3","Statistical Area Level 3","11801","Eastern Suburbs - North","A","Annual","2016","2016",8.8,,
"SCHOOL_7","With Certificate (%)","SA3","Statistical Area Level 3","11801","Eastern Suburbs - North","A","Annual","2011","2011",8.1,,
"SCHOOL_7","With Certificate (%)","SA3","Statistical Area Level 3","11801","Eastern Suburbs - North","A","Annual","2016","2016",8,,
"SCHOOL_8","Post School Qualifications - Inadequately described, not stated (%)","SA3","Statistical Area Level 3","11801","Eastern Suburbs - North","A","Annual","2011","2011",15.6,,
"SCHOOL_8","Post School Qualifications - Inadequately described, not stated (%)","SA3","Statistical Area Level 3","11801","Eastern Suburbs - North","A","Annual","2016","2016",13.5,,
"SCHOOL_2","With Post School Qualifications (%)","SA3","Statistical Area Level 3","11802","Eastern Suburbs - South","A","Annual","2011","2011",66,,
"SCHOOL_2","With Post School Qualifications (%)","SA3","Statistical Area Level 3","11802","Eastern Suburbs - South","A","Annual","2016","2016",68.7,,
"SCHOOL_3","With Postgraduate Degree (%)","SA3","Statistical Area Level 3","11802","Eastern Suburbs - South","A","Annual","2011","2011",8.7,,
"SCHOOL_3","With Postgraduate Degree (%)","SA3","Statistical Area Level 3","11802","Eastern Suburbs - South","A","Annual","2016","2016",10.6,,
"SCHOOL_4","With Graduate Diploma/Graduate Certificate (%)","SA3","Statistical Area Level 3","11802","Eastern Suburbs - South","A","Annual","2011","2011",2,,
